Category,Code,Item,,,,,,
FNC,B,Baseboad,,,,,,
Override,,,,,,,,
FNC,B3,"Baseboard - 3 1/4""",,,,,,
FNC,B4,"Baseboard - 4 1/4""",,,,,,
FNC,B5,"Baseboard - 5 1/4""",,,,,,
FNC,B6,"Baseboard - 6""",,,,,,
FNC,BR,Baseboard - Reset,,,,,,
PNT,B,Paint baseboard - 1 coat,,,,,,
PNT,B2,Paint baseboard - 2 coats,,,,,,
PNT,BS,Stain & finish baseboard ,,,,,,
CLN,B,Clean baseboard,,,,,,
,,,,,,,,
Category,Code,Item,,,,,,
APP,RF,Refrigerator,,,,,,
Override ,,,,,,,,
APP,,,,,,,,
APP,APPRFWLRS,Refrig. water line - Disconnect & reconnect - with repairs,,,,,,
APP,APPRFRS,Refrigerator - Remove & reset,,,,,,
APP,APPRFS18,Refrigerator - side by side - 16 to 22 cf,,,,,,
APP,APPRFWLRS,Refrig. water line - Disconnect & reconnect - with repairs,,,,,,
APP,APPRFRS,Refrigerator - Remove & reset,,,,,,
APP,APPRFS18,Refrigerator - side by side - 16 to 22 cf,,,,,,
APP,APPRFS22,Refrigerator - side by side - 22 to 25 cf,,,,,,
APP,RF14,Refrigerator - top freezer - 14 to 18 cf,,,,,,
APP,RF18,Refrigerator - top freezer - 18 to 22 cf,,,,,,
APP,RFBI,"Built-in refrigerator - 36""",,,,,,
APP,BI>,"Built-in refrigerator - 42""",,,,,,
APP,RFS24,Refrigerator - side by side - 25 to 30 cf,,,,,,
CAP,RFX,Clean refrigerator - exterior,,,,,,
CLN,RF,Clean refrigerator - interior and exterior,,,,,,
,,,,,,,,
Category,Code,Item,,,,,,
APP,RG,Range,,,,,,
Override ,,,,,,,,
APP,RGDI,Range - drop in,,,,,,
APP,RGGRS,Range - gas - Remove & reset,,,,,,
APP,RGRS,Range - electric - Remove & reset,,,,,,
APP,GDIRS,Range - drop in - Detach & reset,,,,,,
APP,RGGRS,Range - freestanding - gas,,,,,,
APP,RG,Range - freestanding - electric,,,,,,
APP,RGGR,Range - gas - Reset,,,,,,
APP,RGSG,Range - slide in - gas,,,,,,
APP,RGR,Range - electric - Reset,,,,,,
APP,RGS,Range - slide in - electric,,,,,,
CLN,RGX,Clean range - exterior,,,,,,
CLN,RG,Clean range - interior and exterior,,,,,,
,,,,,,,,
Category,Code,Item,,,,,,
PLM,SNK,Sink - single,,,,,,
Override,, ,,,,,,
PLM,SNKD,Sink - double basin,,,,,,
PLM,SNKDD,Sink - double basin - Detach,,,,,,
PLM,SNKDBR,Sink - double basin - Reset,,,,,,
PLM,SNKDRS,Sink - double basin - Detach&Reset,,,,,,
PLM,SNKSD,Sink - Single - Detach,,,,,,
PLM,SNKR,Sink - Single - Reset,,,,,,
PLM,SNKRS,Sink - Single - Detach&Reset,,,,,,
CLN,SSNK,Clean service sink,,,,,,
CLN,SSNK+,Clean service sink - Heavy,,,,,,
CLN,FAU,Clean sink faucet,,,,,,
,,,,,,,,
Category,Code,Item,,,,,,
WDV,,Window,,,,,,
Override,,,,,,,,
PNT,DORT,Paint door/window trim & jamb - 2 coats (per side),,,,,,
PNT,OP>,Paint door or window opening - Large - 2 coats (per side),,,,,,
WDR,SCRN,"Window screen, 17 - 25 SF",,,,,,
WDT,DRAPRH,Window drapery - remove and rehang - per hour,,,,,,
WDT,HWRS,Window drapery - hardware - Detach & reset,,,,,,
WDV,D>,"Vinyl window - double hung, 13-19 sf",,,,,,
WDS,S,"Vinyl window, single hung, 9-12 sf",,,,,,
WDS,RW>,"Roof window (skylight), 10.1 - 12 sf",,,,,,
WDV,VNRS,Vinyl window - Detach & reset,,,,,,
FNC,SILLH,Window sill - hardwood,,,,,,
AWN,WINA,Awning - Window/door - Aluminum or steel,,,,,,
,,,,,,,,
Category,Code,Item,,,,,,
FCC,AV,Carpet,,,Category-LIT Code-AV Item-Light fixture,,,
Override,,,,,,,,
FCC,PAD,Carpet pad,,,,,,
FCC,STP+,"Step charge for ""tucked"" carpet installation - High grade",,,Category-PLM Code-PSNK Item-Pedestal sink,,,
FCC,AVB,Additional labor cost for Berber or patterned carpets,,,,,,
FCC,AV+,Carpet - High grade,,,,,,
FCC,BIND,Carpet binding,,,,,,
FCC,STPEW,"Add on charge for ""edge wrap"" carpet installation",,,,,,
CLN,FCC,Clean and deodorize carpet,,,,,,
FCC,EDGE,Carpet - metal transition strip,,,Category-ELE Code-SMOKE Item-Smoke detector,,,
FCC,I/O,Indoor / outdoor carpet,,,,,,
WTR,FCC,"Tear out wet non-salvageable carpet, cut & bag for disp.",,,,,,
FCC,LAB,Carpet Installer - per hour,,,Category-PLM Code-SNKD Item-Sink double basin,,,
FCC,CT,Carpet tile,,,,,,
,,,,,,,,
Category,Code,Item,,,,,,
FCW,AV,Oak flooring #1 common - no finish,,,,,,
Override,,,,,,,,
FCW,LAM,Snaplock Laminate - simulated wood flooring ,,,,,,
FCW,LAM+,Snaplock Laminate - simulated wood flooring - High grade,,,,,,
FCW,CK,Cork flooring - snaplock floating ,,,,,,
FCW,CK+,Cork flooring - snaplock floating - High grade,,,,,,
FCV,PLK,Vinyl plank flooring,,,,,,
FCV,PLK+,Vinyl plank flooring - High grade,,,,,,
FCW,FINSYTP+,"Sand, stain and finish steps and/or risers",,,Category-LIT Code-RC Item-Recessed light fixture,,,
FCW,FIN+,Add for dustless floor sanding,,,,,,
FCW,FIN-,"Sand, stain and finish wood floor",,,,,,
,,,,,,,,
Category,Code,Item,,,,,,
DOR,COL/MAH,Interior door - Colonist - slab only,,,,,,
Override,,,,,,,,
PNT,OPSP,Seal & paint door or window opening (per side),,,,,,
PNT,DORSP,Seal & paint door slab only (per side),,,,,,
FNH,DORHRS,Door knob/lockset - Detach & reset,,,,,,
PNT,OPSP,Seal & paint door or window opening (per side),,,,,,
ELE,CHIME,Door bell/chime,,,,,,
FNH,DBX,Door lockset & deadbolt - exterior,,,,,,
CLN,OP,Clean door / window opening (per side),,,,,,
,,,,,,,,
Category,Code,Item,,,,,,
CAB,UP/LOW,Cabinetry - upper (wall) units / Cabinetry - lower base units,,,,,,
Override,,,,,,,,
PNT,LOWF<,Paint cabinetry - lower - faces only,,,,,,
CLN,LOW,Clean cabinetry - lower - inside and out,,,,,,
PNT,LOWF<,Paint cabinetry - lower - faces only,,,,,,
PNT,UPF,Seal & paint cabinetry - upper - faces only,,,,,,
WTR,CABUP,Tear out cabinetry - upper (wall) units,,,,,,
CLN,UP,Clean cabinetry - upper - inside and out,,,,,,
CAB,UPR,Cabinetry - upper (wall) units - Reset,,,,,,
CAB,UPRS,Cabinetry - upper (wall) units - Detach & reset,,,,,,
CAB,LOWR,Cabinetry - lower base units - Reset,,,,,,
CAB,LOWRS,Cabinetry - lower base units - Detach & reset,,,,,,
,,,,,,,,
Category,Code,Item,,,,,,
APP,WAS,Washing machine,,,,,,
Override,,,,,,,,
APP,WSHRS,Washing machine - Remove & reset,,,,,,
APP,WAST,Washer/Washing Machine - Top-loading,,,,,,
APP,WSHR,Washing machine - Reset,,,,,,
APP,WSHD,Washing machine - Detach,,,,,,
APP,WASF,Washer/Washing Machine - Front-loading,,,,,,
APP,WDCE,Washer/Washing machine & dryer combo - Electric,,,,,,
