Code,Description,Unit,,,Category
A,Door astragal,LF,#ERROR!,$5.74,
ALDP,Interior door - solid alder - paneled - pre-hung unit,EA,&,$478.09,
ALDP-,Interior door - solid alder - paneled - slab only,EA,&,$293.11,
ALDP8,"Interior door, 8' - solid alder - paneled - pre-hung",EA,&,$668.18,
ALDP8-,"Interior door, 8' - solid alder - paneled - slab only",EA,&,$402.56,
ALDPD,Interior double door - solid alder - paneled - pre-hung,EA,&,$819.12,
ALDPR,Interior door - solid alder - panel - radius top - prehung,EA,&,"$1,522.67",
ALDPX,Exterior door - solid alder - paneled,EA,&,$899.60,
ALDPX8,"Exterior door, 8' - solid alder - paneled",EA,&,"$1,296.55",
ALDPXR,Exterior door - solid alder - paneled - radius top,EA,&,"$2,018.88",
ALDPXS,Exterior door - solid alder - paneled - slab only,EA,&,$794.49,
ALDPXS8,"Exterior door, 8' - solid alder - paneled - slab only",EA,&,$935.39,
AV,Interior door unit,EA,&,$140.43,
AV-,Interior door unit - Standard grade,EA,&,$136.15,
AV+,Interior door unit - High grade,EA,&,$177.06,
AV++,Interior door unit - Premium grade,EA,&,$282.96,
AVB,"Interior barn door - 24"" wide - aluminum coated w/hardware",EA,&,$446.14,
AVM,Interior door unit - mobile home,EA,&,$139.80,
AVM-,Interior door unit - mobile home - Standard grade,EA,&,$128.81,
AVM+,Interior door unit - mobile home - High grade,EA,&,$180.10,
AVM++,Interior door unit - mobile home - Premium grade,EA,&,$206.37,
BCD,Basement/cellar/bulkhead door - steel - 4' x 4',EA,&,"$1,076.77",
BCD+,Basement/cellar/bulkhead door - poly - High grade,EA,&,"$1,250.57",
BCD>,Basement/cellar/bulkhead door - steel - up to 5' x 7',EA,&,"$1,315.80",
BF,Bifold door set - Colonist - Double,EA,&,$182.84,
BF-,Bifold door set - lauan/mahogany - Double,EA,&,$165.47,
BF+,Bifold door set - Birch veneer - Double,EA,&,$195.17,
BF++,Bifold door set - solid core - half louvered - Double,EA,&,$254.61,
BF<,Bifold door - Colonist - Single,EA,&,$94.99,
BF<-,Bifold door - lauan/mahogany - Single,EA,&,$86.30,
BF<+,Bifold door - Birch veneer - Single,EA,&,$101.15,
BF<++,Bifold door - solid core - half louvered - Single,EA,&,$130.87,
BF<RS,Bifold door - (2 slabs only) - Single - Detach & reset,EA,#ERROR!,$10.87,
BFLVR,Bifold door set - full louvered - Double,EA,&,$218.61,
BFLVR<,Bifold door - full louvered - Single,EA,&,$112.87,
BFMIR,Bifold mirrored door set - Double,EA,&,$317.07,
BFMIR+,Bifold mirrored door set - High grade - Double,EA,&,$457.40,
BFMIR<,Bifold mirrored door - Single,EA,&,$162.11,
BFMIR<+,Bifold mirrored door - High grade - Single,EA,&,$232.27,
BFPNL,Bifold door set - solid fir 4 or 6 panel - Double,EA,&,$371.04,
BFPNL<,Bifold door - solid fir 4 or 6 panel - Single,EA,&,$189.08,
BFRS,Bifold door set - (4 slabs only) - Double Detach & reset,EA,#ERROR!,$19.16,
BFXH,Bifold door - exterior horizontal (agricultural use),EA,&,"$7,297.29",
BIDITM,Doors (Bid Item),EA,#ERROR!,$0.00,
BIRCH,Interior door - birch - pre-hung unit,EA,&,$161.60,
BIRCH-,Interior door - birch - slab only,EA,&,$87.79,
BIRCH+,Interior door - birch - stain grade jamb & casing,EA,&,$206.21,
BIRCHDH,Interior double door - birch - pre-hung unit,EA,&,$269.39,
BP,Bypass (sliding) door set - Colonist,EA,&,$126.00,
BP-,Bypass (sliding) door set - lauan/mahogany,EA,&,$125.68,
BP+,Bypass (sliding) door set - birch,EA,&,$146.46,
BP++,Bypass (sliding) door set - panel,EA,&,$283.05,
BPMIR,Bypass mirrored door set,EA,&,$290.93,
BPMIR+,Bypass mirrored door set - High grade,EA,&,$393.58,
BPRS,Bypass (sliding) door set - slabs only - Detach & reset,EA,#ERROR!,$19.16,
CAFE,"Cafe doors - Louvered pair - up to 36"" wide",EA,&,$183.52,
CAFERS,Cafe doors set - Detach & reset,EA,#ERROR!,$20.37,
CDA,Curtain Door - 14' x 14' cable winch,EA,&,"$1,361.06",
CDA>,Curtain Door - 18' x 18' cable winch,EA,&,"$1,701.06",
CDM,Curtain Door - 17' x 18' hand crank,EA,&,"$1,111.06",
COL,Interior door - Colonist - pre-hung unit,EA,&,$140.43,
COL-,Interior door - Colonist - slab only,EA,&,$77.56,
COL+,Interior door - Colonist - stain grade jamb & casing,EA,&,$185.04,
COL8,"Interior door, 8' - Colonist - pre-hung unit",EA,&,$242.70,
COL8-,"Interior door, 8' - Colonist - slab only",EA,&,$139.69,
COL8+,"Interior door, 8' - Colonist - stain grade jamb and casing",EA,&,$294.19,
COLD,Interior double door - Colonist - pre-hung unit,EA,&,$265.81,
COLD8,"Interior double door, 8' - Colonist - pre-hung unit",EA,&,$391.93,
COLS,Interior door - solid core Colonist - pre-hung unit,EA,&,$244.04,
COLS-,Interior door - solid core Colonist - slab only,EA,&,$126.16,
COLS8,"Interior door, 8' - solid core Colonist - pre-hung unit",EA,&,$338.94,
COLS8-,"Interior door, 8' - solid core Colonist - slab only",EA,&,$182.86,
COLS8+,"Interior door, 8' - solid core - stain grade jamb and case",EA,&,$371.74,
COLSD,Interior double door - solid core Colonist - pre-hung unit,EA,&,$459.70,
COLSD8,"Interior double door, 8' - solid core Colonist - pre-hung",EA,&,$524.03,
DB,On site door prep. for deadbolt - Labor only,EA,#ERROR!,$16.29,
DOR8RS,"Interior door, 8' - Detach & reset",EA,#ERROR!,$55.24,
DORD8RS,"Interior double door, 8' - Detach & reset",EA,#ERROR!,$86.59,
DORDRS,Interior double door - Detach & reset,EA,#ERROR!,$72.83,
DOR-R,Interior door - Reset - slab only,EA,#ERROR!,$8.16,
DORRS,Interior door - Detach & reset,EA,#ERROR!,$50.16,
DOR-RS,Interior door - Detach & reset - slab only,EA,#ERROR!,$13.58,
DUTCH,Exterior door - Dutch - pre-hung unit,EA,&,$478.83,
DUTCH-,Exterior door - Dutch - slabs only,EA,&,$264.70,
DUTRS,Dutch door - Detach & reset,EA,#ERROR!,$73.53,
DUT-RS,Dutch door - Detach & reset - slab only,EA,#ERROR!,$24.44,
FLD,Folding door,EA,&,$97.43,
FR2RS,French double door set - Detach & reset,EA,#ERROR!,$66.06,
FRI,French door - Interior - single - pre-hung unit,EA,&,$355.33,
FRI-,French door - Interior - wood - slab only,EA,&,$179.35,
FRI+,French door - Interior - stain grade jamb & casing,EA,&,$383.93,
FRI2,French double door set - Interior - pre-hung unit,EA,&,$518.21,
FRI2+,French double door set - Interior - pre-hung - stain grade,EA,&,$547.82,
FRI8,"French door, 8' - Interior - single - pre-hung unit",EA,&,$612.83,
FRI8-,"French door, 8' - Interior - wood - slab only",EA,&,$502.77,
FRI82,French double door set - Interior - pre-hung unit,EA,&,"$1,197.07",
FRRS,French door - Detach & reset,EA,#ERROR!,$55.24,
FRX,French door - Exterior - pre-hung unit,EA,&,$580.41,
FRX-,French door - Exterior - wood - slab only,EA,&,$346.50,
FRX+,French door - Exterior - stain grade jamb & casing,EA,&,$606.68,
FRX2,French double doors - Exterior - pre-hung unit,EA,&,"$1,094.64",
FRX2+,French double doors - Exterior - stain grade jamb & casing,EA,&,"$1,121.48",
FRXM,French door - Exterior - metal - insulated - pre-hung unit,EA,&,$634.71,
FRXM-,French door - Exterior - metal - insulated - slab only,EA,&,$334.08,
FRXM2,French double doors - Ext. -metal - insul. - pre-hung unit,EA,&,$931.97,
HD,Hidden door,SF,&,$64.53,
HD+,Hidden door - High grade,SF,&,$78.53,
HDB,Hidden door - Bookcase,SF,&,$139.53,
LAB,Door Installer/Finish Carpenter - per hour,HR,#ERROR!,$56.26,
LABL,Door - General Laborer - per hour,HR,#ERROR!,$30.21,
LBL,Glass lite with encased blinds - full lite,EA,&,$223.30,
LBL1/2,Glass lite with encased blinds - half lite,EA,&,$168.72,
LBLSL,Glass lite with encased blinds - side lite glazing,EA,&,$180.42,
LV,"Louvered insert, up to 18"" x 12""",EA,&,$160.20,
LVR,Interior door - full louvered - pre-hung unit,EA,&,$254.10,
LVR-,Interior door - half louvered - pre-hung unit,EA,&,$278.75,
MAH,Interior door - lauan/mahogany - pre-hung unit,EA,&,$152.10,
MAH-,Interior door - lauan/mahogany - slab only,EA,&,$77.40,
MAH+,Interior door - lauan/mahogany - stain grade jamb & case,EA,&,$196.71,
MAH++,Interior door - lauan/mahogany - mahogany jamb & casing,EA,&,$222.89,
MAHD,Interior double door - lauan/mahogany - pre-hung unit,EA,&,$205.44,
MAHP,Interior door - solid mahogany - paneled - pre-hung unit,EA,&,$505.69,
MAHP-,Interior door - solid mahogany - paneled - slab only,EA,&,$295.53,
MAHP8,"Interior door, 8' - solid mahogany - paneled - pre-hung",EA,&,$795.44,
MAHP8-,"Interior door, 8' - solid mahogany - paneled - slab only",EA,&,$666.50,
MAHPD,Interior double door - solid mahogany - panel - pre-hung,EA,&,$837.46,
MAHPX,Exterior door - solid mahogany - paneled,EA,&,$947.30,
MAHPXS,Exterior door - solid mahogany - paneled - slab only,EA,&,$746.05,
MISC,DOORS,,#ERROR!,$0.00,
MN,Door - Labor Minimum,EA,#ERROR!,$140.66,
MORT,On site door prep. for full mortised lockset - Labor only,EA,#ERROR!,$61.12,
OAK,Interior door - oak veneer - pre-hung unit,EA,&,$177.06,
OAK-,Interior door - oak veneer - slab only,EA,&,$93.26,
OAK+,Interior door - oak veneer - oak veneer jamb & casing,EA,&,$247.86,
OAK++,Interior door - oak veneer - solid oak jamb & casing,EA,&,$261.74,
OAKD,Interior double door - oak veneer - pre-hung unit,EA,&,$271.34,
OAKP,Interior door - solid oak - paneled - pre-hung unit,EA,&,$400.51,
OAKP-,Interior door - solid oak - paneled - slab only,EA,&,$254.83,
OAKP8,"Interior door, 8' - solid oak - paneled - pre-hung",EA,&,$625.80,
