Category,Selection,Description
FNC,B,Baseboard
FNC,B3,"Baseboard - 3 1/4"""
FNC,B4,"Baseboard - 4 1/4"""
FNC,B5,"Baseboard - 5 1/4"""
FNC,B6,"Baseboard - 6"""
FNC,BR,Baseboard - Reset
,,
APP,RF,Refrigerator
APP,RFWLRS,Refrig. water line - Disconnect & reconnect - with repairs
APP,RFRS,Refrigerator - Remove & reset
APP,RFS18,Refrigerator - side by side - 16 to 22 cf
APP,RFWLRS,Refrig. water line - Disconnect & reconnect - with repairs
APP,RFRS,Refrigerator - Remove & reset
APP,RFS18,Refrigerator - side by side - 16 to 22 cf
APP,RFS22,Refrigerator - side by side - 22 to 25 cf
APP,RF14,Refrigerator - top freezer - 14 to 18 cf
APP,RF18,Refrigerator - top freezer - 18 to 22 cf
APP,RFBI,"Built-in refrigerator - 36"""
APP,BI>,"Built-in refrigerator - 42"""
APP,RFS24,Refrigerator - side by side - 25 to 30 cf
,,
APP,RG,Range
APP,RGDI,Range - drop in
APP,RGGRS,Range - gas - Remove & reset
APP,RGRS,Range - electric - Remove & reset
APP,GDIRS,Range - drop in - Detach & reset
APP,RGGRS,Range - freestanding - gas
APP,RG,Range - freestanding - electric
APP,RGGR,Range - gas - Reset
APP,RGSG,Range - slide in - gas
APP,RGR,Range - electric - Reset
APP,RGS,Range - slide in - electric
,,
PLM,SNK,Sink - single
PLM,SNKD,Sink - double basin
PLM,SNKDD,Sink - double basin - Detach
PLM,SNKDBR,Sink - double basin - Reset
PLM,SNKDRS,Sink - double basin - Detach&Reset
PLM,SNKSD,Sink - Single - Detach
PLM,SNKR,Sink - Single - Reset
PLM,SNKRS,Sink - Single - Detach&Reset
PLM,SNKR,Sink - single - Reset
PLM,SNKKS,Kitchen Sink - single basin
MBL,VTSNK,Vanity top - one sink - cultured marble
PLM,SNKWM,Sink - wall mounted
CAB,CTSNKB,Sink - Bar - solid surface material
,,
PLM,TLT ,Toilet
PLM,TLTD,Toilet - Detach
PLM,TLTR,Toilet - Reset
PLM,TLTRS,Toilet - Detach&Reset
PLM,TLT-,Toilet - Standard grade
PLM,TLT+,Toilet 
PLM,TLT++,Toilet 
CLN,TLT,Clean toilet
,,
HVC ,REG,Heat AC register mechanically attached
HVC ,REGD,Heat AC register mechanically attached - Detach 
HVC ,REGR,Heat AC register mechanically attached - Reset
HVC ,REGRS,Heat AC register mechanically attached - Detach&reset
CLN,REG,Clean register - heat/AC
HVC ,REGF,Heat/AC register - Floor register 
HVC ,REGFRS,Heat/AC register - Floor register - Detach&reset
,,
PLM,TUBS ,Fiberglass tub shower combination
PLM,TUBSD,Fiberglass tub shower combination - Detach
PLM,TUBSR,Fiberglass tub shower combination - Reset
PLM,TUBRS,Fiberglass tub shower combination - Detach&Reset
PLM,TUBS-,Fiberglass tub shower combination Standard Grade
PLM,TUBS+,Fiberglass tub shower combination 
PLM,TUBS++,Fiberglass tub shower combination 
PLM,SWR,Fiberglass shower unit 
PLM,SWR-,Fiberglass shower unit - Standard grade
,,
APP ,DW,Dishwasher
APP ,DWR,Dishwasher - Reset 
APP ,DWD,Dishwasher - Detach
APP ,DWRS,Dishwasher - Detach&reset 
CLN,DW,Clean Dishwasher - Interior and exterior 
,,
LIT ,FNL,Ceiling fan with light
LIT ,FNRS,Ceiling fan with light - Detach&reset
LIT ,FNR,Ceiling fan with light - Reset
LIT ,FND,Ceiling fan with light - Detach
CLN,FN,Clean ceiling fan and light
,,
DOR  ,BF,Bifold Door Set Colonist Double
DOR,ALDP-,Interior door - solid alder - paneled - slab only
DOR,BF,Bifold door set - Colonist - Double
DOR,BF-,Bifold door set - lauan/mahogany - Double
DOR,BF+,Bifold door set - Birch veneer - Double
DOR,BF++,Bifold door set - solid core - half louvered - Double
DOR,BF<,Bifold door - Colonist - Single
DOR,BF,Bifold door - (2 slabs only) - Single - Detach & reset
DOR,BFLVR,Bifold door set - full louvered - Double
,,
TIL  ,TUB,Tile tub surround
TIL,TUB,Tile tub surround - up to 60 SF
TIL,TUB>,Tile tub surround - 60 to 75 SF
CLN,TIL,Clean ceramic tile
MSD,TIL,Mirror tile
MSD,TIL+,Mirror tile - High grade
CLN,TUB,Clean tub
CLN,TUB-,Clean tub - Light
CLN,TUB+,Clean tub - Heavy
,,
CAB,LOW,Cabinetry - lower base units
CAB,LOW+,Cabinetry - lower (base) units - High grade
CAB,LOW++,Cabinetry - lower (base) units - Premium grade
CAB,LOW+++,Cabinetry - lower (base) units - Deluxe grade
CAB,LOWR,Cabinetry - lower (base) units - Reset
CAB,LOWRS,Cabinetry - lower (base) units - Detach & reset
,,
DRY,E,Dryer - Electric
APP,DRYER,Dryer - Electric - Reset
APP,DRYRS,Dryer - Remove & reset
APP,DRYE,Dryer - Electric
APP,DRYE-,Dryer - Electric - Standard grade
APP,DRYE+,Dryer - Electric - High grade
APP,DRYE++,Dryer - Electric - Premium grade
APP,DRYE+++,Dryer - Electric - Deluxe grade
APP,DRYG,Dryer - Gas
APP,DRYG-,Dryer - Gas - Standard grade
APP,DRYG+,Dryer - Gas - High grade
APP,DRYG++,Dryer - Gas - Premium grade
APP,DRYG+++,Dryer - Gas - Deluxe grade
,,
FCC,AV,Carpet
FCC,AV-,Carpet - Standard grade
FCC,AV--,Carpet - Economy grade
FCC,AV+,Carpet - High grade
FCC,AV++,Carpet - Premium grade
FCC,AVRS,Carpet - Detach & relay
,,
DRY,ACT,Acoustic ceiling tile
DRY,ACTAV+,,Acoustic ceiling tile - High grade
DRY,ACTAV++,,Acoustic ceiling tile - Premium grade
,,
LIT,AV,Light Fixture
LIT,RS,Light fixture - Detach & reset
LIT,X,Exterior light fixture
LIT,AV-,Light fixture - Standard grade
LIT,AV+,Light fixture - High grade
LIT,AV++,Light fixture - Premium grade
,,
APP,DRY,Dryer
APP,DRYRS,Dryer - Remove & reset
APM,DRYG,Dryer - Gas
APP,DRYGRS,Dryer - Remove & reset - gas
APP,WDSRS,Washer/Washing machine & dryer combo - Remove & reset
,,
APP,MWS,Microwave oven over range
APP,MWS,Microwave oven - over range w/built-in hood
APP,MWSRS,Microwave oven - over range type - Detach & reset
,,
CAB,CT,Countertop
CAB,CTCON,Countertop - concrete
CAB,CTPF,Countertop - post formed plastic laminate
CAB,CTGM,Countertop - Granite or Marble
CAB,CTSS,Countertop - solid surface
CAB,CTBB,Countertop - wood - butcher block (hardrock maple)
,,
CAB,VAN,Vanity
CAB,VAN+,Vanity - High grade
CAB,VANGM,Vanity with granite or marble top
CAB,VANPE,Vanity with porcelain or engineered stone top
MBL,VTSNK,Vanity top - one sink - cultured marble
MBL,VTSNK>,Vanity top - two sinks - cultured marble
,,
DOR,AV,Interior door unit
DOR,ALDPD,Interior double door - solid alder - paneled - pre-hung
DOR,BIRCH,Interior door - birch - pre-hung unit
DOR,COL,Interior door - Colonist - pre-hung unit
DOR,MAH,Interior door - lauan/mahogany - pre-hung unit
DOR,FRI,French door - Interior - single - pre-hung unit
DOR,MAHP,Interior door - solid mahogany - paneled - pre-hung unit
DOR,OAK,Interior door - oak veneer - pre-hung unit
DOR,OAKPD,Interior double door - solid oak - paneled - pre-hung unit
,,
DOR,X,Exterior Door
DOR,X,Exterior door - metal - insulated - flush or panel style
DOR,X-,Exterior door - solid core lauan / mahogany or birch flush
