Category,Description
ACC,ACCESSORIES - MOBILE HOME
ACT,ACOUSTICAL TREATMENTS
APM,APPLIANCES - MAJOR W/O INSTALL
APP,APPLIANCES
ARC,"ART RESTORATION, CONSERVATION"
AWN,AWNINGS & PATIO COVERS
CAB,CABINETRY
CAP,CONT: CLEAN APPLIANCES
CDC,CONT: GARMENT & SOFT GOODS CLN
CEL,CONT: CLEAN ELECTRIC ITEMS
CGN,CONT: CLEAN - GENERAL ITEMS
CHF,CONT: CLEAN - HARD FURNITURE
CLM,CONT: CLEAN - LAMPS OR VASES
CLN,CLEANING
CNC,CONCRETE & ASPHALT
CON,CONTENT MANIPULATION
CPS,"CONT: PACKING,HANDLNG,STORAGE"
CUP,"CONT: CLEAN,UPHOLSTRY & SOFT"
CWH,CONT: CEILING/WALL HANGINGS
DMO,GENERAL DEMOLITION
DOR,DOORS
DRY,DRYWALL
ELE,ELECTRICAL
ELS,ELECTRICAL - SPECIAL SYSTEMS
EQA,MISC. EQUIPMENT - AGRICULTURAL
EQC,MISC. EQUIPMENT - COMMERCIAL
EQU,HEAVY EQUIPMENT
EXC,EXCAVATION
FCC,FLOOR COVERING - CARPET
FCR,FLOOR COVERING - RESILIENT
FCS,FLOOR COVERING - STONE
FCT,FLOOR COVERING - CERAMIC TILE
FCV,FLOOR COVERING - VINYL
FCW,FLOOR COVERING - WOOD
FEE,PERMITS AND FEES
FEN,FENCING
FNC,FINISH CARPENTRY / TRIMWORK
FNH,FINISH HARDWARE
FPL,FIREPLACES
FPS,FIRE PROTECTION SYSTEMS
FRM,FRAMING & ROUGH CARPENTRY
GLS,"GLASS, GLAZING, & STOREFRONTS"
HMR,HAZARDOUS MATERIAL REMEDIATION
HVC,"HEAT, VENT & AIR CONDITIONING"
INM,INSULATION - MECHANICAL
INS,INSULATION
LAB,LABOR ONLY
LIT,LIGHT FIXTURES
LND,LANDSCAPING
MAS,MASONRY
MBL,MARBLE - CULTURED OR NATURAL
MPR,MOISTURE PROTECTION
MSD,MIRRORS & SHOWER DOORS
MSK,"MOBILE HOMES, SKIRTING & SETUP"
MTL,METAL STRUCTURES & COMPONENTS
ORI,ORNAMENTAL IRON
PER,PERISHABLE - NON-PERISHABLE
PLA,INTERIOR LATH & PLASTER
PLM,PLUMBING
PNL,PANELING & WOOD WALL FINISHES
PNT,PAINTING
POL,SWIMMING POOLS & SPAS
RFG,ROOFING
SCF,SCAFFOLDING
SDG,SIDING
SFG,"SOFFIT, FASCIA, & GUTTER"
SPE,SPECIALTY ITEMS
STJ,STEEL JOIST COMPONENTS
STL,STEEL COMPONENTS
STR,STAIRS
STU,STUCCO & EXTERIOR PLASTER
TBA,TOILET & BATH ACCESSORIES
TCR,TRAUMA/CRIME SCENE REMEDIATION
TIL,TILE
TMB,TIMBER FRAMING
TMP,TEMPORARY REPAIRS
USR,USER DEFINED ITEMS
WDA,WINDOWS - ALUMINUM
WDP,WINDOWS - SLIDING PATIO DOORS
WDR,WINDOW REGLAZING & REPAIR
WDS,WINDOWS - SKYLIGHTS
WDT,WINDOW TREATMENT
WDV,WINDOWS - VINYL
WDW,WINDOWS - WOOD
WPR,WALLPAPER
WTR,WATER EXTRACTION & REMEDIATION
XST,EXTERIOR STRUCTURES
