,Code,Description,Unit,,,Category
200,DRYE,Dryer - Electric,EA,#ERROR!,$680.00,
211,RF14,Refrigerator - top freezer - 14 to 18 cf,EA,#ERROR!,$506.99,
442,DW,Dishwasher,EA,&,$564.35,
457,HD,Range hood,EA,&,$165.92,
486,OVBI,Built-in oven,EA,&,$918.07,
214,RF18,Refrigerator - top freezer - 18 to 22 cf,EA,#ERROR!,$629.59,
217,RF22,Refrigerator - top freezer - 22 to 24 cf,EA,#ERROR!,$839.99,
220,RF25,Refrigerator - top freezer - 24 to 26 cf,EA,#ERROR!,"$1,099.00",
224,RFB18,Refrigerator - bottom freezer - 18 to 22 cf,EA,#ERROR!,"$1,025.00",
227,RFB22,Refrigerator - bottom freezer - 22 to 25 cf,EA,#ERROR!,"$1,631.88",
230,RFB25,Refrigerator - bottom freezer - 25 to 30 cf,EA,#ERROR!,"$1,700.97",
241,RFS22,Refrigerator - side by side - 22 to 25 cf,EA,#ERROR!,"$1,457.59",
245,RFS24,Refrigerator - side by side - 25 to 30 cf,EA,#ERROR!,"$1,555.04",
249,RG,Range - freestanding - electric,EA,#ERROR!,$560.46,
254,RGDO,Range - freestanding - double oven - electric,EA,#ERROR!,"$1,325.00",
259,RGG,Range - freestanding - gas,EA,#ERROR!,$666.41,
262,WASF,Washer / Washing machine - Front-loading,EA,#ERROR!,$880.68,
266,WAST,Washer / Washing machine - Top-loading,EA,#ERROR!,$530.00,
271,WDCE,Washer / Washing machine & dryer combo - Electric,EA,#ERROR!,$957.85,
201,DRYE-,Dryer - Electric - Standard grade,EA,#ERROR!,$399.99,
202,DRYE+,Dryer - Electric - High grade,EA,#ERROR!,$911.00,
203,DRYE++,Dryer - Electric - Premium grade,EA,#ERROR!,"$1,135.00",
204,DRYE+++,Dryer - Electric - Deluxe grade,EA,#ERROR!,"$1,443.12",
205,DRYG,Dryer - Gas,EA,#ERROR!,$690.00,
206,DRYG-,Dryer - Gas - Standard grade,EA,#ERROR!,$470.00,
207,DRYG+,Dryer - Gas - High grade,EA,#ERROR!,$990.00,
208,DRYG++,Dryer - Gas - Premium grade,EA,#ERROR!,"$1,200.00",
209,DRYG+++,Dryer - Gas - Deluxe grade,EA,#ERROR!,"$1,403.57",
210,MISC,APPLIANCES - MAJOR W/O INSTALL,,#ERROR!,$0.00,
212,RF14+,Refrigerator - top freezer - 14 to 18 cf - High grade,EA,#ERROR!,$711.66,
213,RF14++,v,EA,#ERROR!,"$1,009.99",
215,RF18+,Refrigerator - top freezer - 18 to 22 cf - High grade,EA,#ERROR!,$843.42,
216,RF18++,Refrigerator - top freezer - 18 to 22 cf - Premium grade,EA,#ERROR!,"$1,112.28",
218,RF22+,Refrigerator - top freezer - 22 to 24 cf - High grd,EA,#ERROR!,$950.00,
219,RF22++,Refrigerator - top freezer - 22 to 24 cf - Premium grade,EA,#ERROR!,"$1,019.99",
221,RF25+,Refrigerator - top freezer - 24 to 26 cf - High grade,EA,#ERROR!,"$1,384.00",
222,RF25++,Refrigerator - top freezer - 24 to 26 cf - Premium grade,EA,#ERROR!,"$1,904.00",
223,RF25+++,Refrigerator - top freezer - 24 to 26 cf - Deluxe grade,EA,#ERROR!,"$1,989.98",
225,RFB18+,Refrigerator - bottom freezer - 18 to 22 cf - High grade,EA,#ERROR!,"$1,549.73",
226,RFB18++,Refrigerator - bottom freezer - 18 to 22 cf - Premium grd,EA,#ERROR!,"$2,399.99",
228,RFB22+,Refrigerator - bottom freezer - 22 to 25 cf - High grade,EA,#ERROR!,"$1,997.85",
229,RFB22++,Refrigerator - bottom freezer - 22 to 25 cf - Premium grd,EA,#ERROR!,"$2,699.98",
231,RFB25+,Refrigerator - bottom freezer - 25 to 30 cf - High grade,EA,#ERROR!,"$2,099.98",
232,RFB25++,Refrigerator - bottom freezer - 25 to 30 cf - Premium grd,EA,#ERROR!,"$2,949.31",
233,RFMI,Refrigerator - compact (undercounter),EA,#ERROR!,$265.77,
234,RFMI-,Refrigerator - compact (undercounter) - Standard grade,EA,#ERROR!,$111.56,
235,RFMI+,Refrigerator - compact (undercounter) - High grade,EA,#ERROR!,$629.00,
236,RFMI++,Refrigerator - compact (undercounter) - Premium grade,EA,#ERROR!,"$1,492.49",
237,RFS18,Refrigerator - side by side - 16 to 22 cf,EA,#ERROR!,"$1,309.99",
238,RFS18-,Refrigerator - side by side - 16 to 22 cf - Standard grade,EA,#ERROR!,$833.74,
239,RFS18+,Refrigerator - side by side - 16 to 22 cf - High grade,EA,#ERROR!,"$1,699.99",
240,RFS18++,Refrigerator - side by side - 16 to 22 cf - Premium grade,EA,#ERROR!,"$2,700.00",
242,RFS22-,Refrigerator - side by side - 22 to 25 cf - Standard grade,EA,#ERROR!,$984.59,
243,RFS22+,Refrigerator - side by side - 22 to 25 cf - High grade,EA,#ERROR!,"$1,923.68",
244,RFS22++,Refrigerator - side by side - 22 to 25 cf - Premium grade,EA,#ERROR!,"$3,031.42",
246,RFS24-,Refrigerator - side by side - 25 to 30 cf - Standard grade,EA,#ERROR!,"$1,007.26",
247,RFS24+,Refrigerator - side by side - 25 to 30 cf - High grade,EA,#ERROR!,"$2,414.13",
248,RFS24++,Refrigerator - side by side - 25 to 30 cf - Premium grade,EA,#ERROR!,"$3,213.73",
250,RG-,Range - freestanding - electric - Standard grade,EA,#ERROR!,$399.00,
251,RG+,Range - freestanding - electric - High grade,EA,#ERROR!,$836.14,
252,RG++,Range - freestanding - electric - Premium grade,EA,#ERROR!,"$1,204.80",
253,RG+++,Range - freestanding - electric - Deluxe grade,EA,#ERROR!,"$2,102.63",
255,RGDO+,Range - freestanding - double oven - High grade,EA,#ERROR!,"$1,685.00",
256,RGDO++,Range - freestanding - double oven - elec - Premium grade,EA,#ERROR!,"$2,037.49",
257,RGDOG,Range - freestanding - double oven - gas,EA,#ERROR!,"$1,574.00",
258,RGDOG+,Range - freestanding - double oven - gas - High grade,EA,#ERROR!,"$1,935.00",
260,RGG+,Range - freestanding - gas - High grade,EA,#ERROR!,$925.00,
261,RGG++,Range - freestanding - gas - Premium grade,EA,#ERROR!,"$2,427.93",
263,WASF-,Washer / Washing machine - Front-loading - Standard grade,EA,#ERROR!,$637.00,
264,WASF+,Washer / Washing machine - Front-loading - High grade,EA,#ERROR!,"$1,170.76",
265,WASF++,Washer / Washing machine - Front-loading - Premium grade,EA,#ERROR!,"$1,511.24",
267,WAST-,Washer / Washing machine - Top-loading - Standard grade,EA,#ERROR!,$360.00,
268,WAST+,Washer / Washing machine - Top-loading - High grade,EA,#ERROR!,$730.00,
269,WAST++,Washer / Washing machine - Top-loading - Premium grade,EA,#ERROR!,$990.66,
270,WAST+++,Washer / Washing machine - Top-loading - Deluxe grade,EA,#ERROR!,"$1,337.49",
272,WDCE+,Washer / Washing machine & dryer combo - Electric - Hi grd,EA,#ERROR!,"$1,399.99",
273,WDCG,Washer / Washing machine & dryer combo - Gas,EA,#ERROR!,"$1,079.10",
274,WDCG+,Washer / Washing machine & dryer combo - Gas - High grade,EA,#ERROR!,"$1,439.10",
400,BBC,Bottle/can box cooler - Commercial,EA,&,"$1,515.90",
401,BIDITM,Appliances (Bid Item),EA,#ERROR!,$0.00,
402,CKIT,"Compact Kitchenette - 48"" - Range-Refrigerator-Sink",EA,&,"$1,863.62",
403,CKIT+,"Compact Kitchenette - 48"" - Range-Frig.-Sink-Wall Cabinets",EA,&,"$2,791.55",
404,CKIT<,"Compact Kitchenette - 30"" - Range-Refrigerator-Sink",EA,&,"$1,199.92",
405,CKIT<+,"Compact Kitchenette - 30"" - Range-Frig.-Sink-Wall Cabinets",EA,&,"$1,773.79",
406,CKIT>,"Compact Kitchenette - 60"" - Range-Refrigerator-Sink",EA,&,"$2,432.49",
407,CKIT>+,"Compact Kitchenette - 60"" - Range-Frig.-Sink-Wall Cabinets",EA,&,"$3,645.80",
408,CT,Cooktop,EA,&,$378.26,
409,CT-,Cooktop - Standard grade,EA,&,$370.44,
410,CT+,Cooktop - High grade,EA,&,$629.06,
411,CT++,Cooktop - Premium grade,EA,&,$837.28,
412,CT+++,CooW15:W19ktop - Deluxe grade,EA,&,"$1,272.25",
413,CTG,Cooktop - gas,EA,&,$644.89,
414,CTG-,Cooktop - gas - Standard grade,EA,&,$435.64,
415,CTG+,Cooktop - gas - High grade,EA,&,$787.12,
