Code,Description,Unit,,,Category
RH>RS,"Wood range hood, 42"" or greater - Detach & reset",EA,#ERROR!,$183.48,
RH42++,"Wood range hood, 42"" - tapered canopy - Premium grade",EA,&,######,
RH42+,"Wood range hood, 42"" - tapered canopy - High grade",EA,&,######,
RH42+++,"Wood range hood, 42"" - tapered canopy - Deluxe grade",EA,&,######,
RH42,"Wood range hood, 42"" - tapered canopy",EA,&,######,
RH36++,"Wood range hood, 36"" - tapered canopy - Premium grade",EA,&,######,
RH36+,"Wood range hood, 36"" - tapered canopy - High grade",EA,&,######,
RH36+++,"Wood range hood, 36"" - tapered canopy - Deluxe grade",EA,&,######,
RH36,"Wood range hood, 36"" - tapered canopy",EA,&,$898.60,
RH30++,"Wood range hood, 30"" - tapered canopy - Premium grade",EA,&,######,
RH30+,"Wood range hood, 30"" - tapered canopy - High grade",EA,&,$894.78,
RH30+++,"Wood range hood, 30"" - tapered canopy - Deluxe grade",EA,&,######,
RH30,"Wood range hood, 30"" - tapered canopy",EA,&,$788.13,
RHRS,Wood range hood - Detach & reset,EA,#ERROR!,$162.92,
IHRS,Wood island hood - Detach & reset,EA,#ERROR!,$407.32,
APNL-,Wood appliance panel - Standard grade,SF,&,$23.96,
APNL++,Wood appliance panel - Premium grade,SF,&,$42.29,
APNL+,Wood appliance panel - High grade,SF,&,$38.99,
APNLRS,Wood appliance panel - Detach and reset,SF,#ERROR!,$9.92,
APNL+++,Wood appliance panel - Deluxe grade,SF,&,$48.59,
APNL,Wood appliance panel,SF,&,$32.14,
SSIL,Window sill - solid surface,LF,&,$20.34,
VANGM,Vanity with Granite or Marble top,LF,&,$292.92,
VAN-,Vanity - Standard grade,LF,&,$102.12,
VANR,Vanity - Reset,LF,#ERROR!,$21.53,
VAN++,Vanity - Premium grade,LF,&,$213.12,
VANM,Vanity - mobile home,LF,&,$55.19,
VAN+,Vanity - High grade,LF,&,$155.12,
VANRS,Vanity - Detach & reset,LF,#ERROR!,$35.91,
VAN+++,Vanity - Deluxe grade,LF,&,$307.12,
VAN,Vanity,LF,&,$128.12,
TROPHY,Trophy case,LF,&,$433.16,
TK,"Toe kick - pre-finished wood - 1/2""",LF,&,$9.13,
TKRS,Toe kick - Detach & reset,LF,#ERROR!,$4.81,
SS+,Suspended bar seat - High grade,EA,&,$750.96,
SS,Suspended bar seat,EA,&,$536.01,
CTSNKS,Sink - single - solid surface material,EA,#ERROR!,$541.77,
CTSNKD,Sink - double - solid surface material,EA,#ERROR!,$633.70,
CTSNKB,Sink - Bar - solid surface material,EA,#ERROR!,$378.14,
CTRRS,Service counter - Detach & reset,LF,#ERROR!,$53.80,
COUNTER,Service counter,LF,&,$229.26,
PLYTK,Re-skin toe kick,LF,&,$7.51,
RECEPT+,Reception desk - laminated plastic cabinets - High grade,LF,&,$577.79,
RECEPT,Reception desk - Commercial,LF,&,$261.39,
PDESK,Postal - writing desk,LF,&,$295.03,
PWCNTR,Postal - work counter,EA,&,$521.82,
PWAST,Postal - waste unit,LF,&,$233.78,
PTUB,Postal - tub storage unit,LF,&,$420.03,
PCORN,Postal - slatwall corner,EA,&,$605.11,
PSLATE,Postal - slat wall - end filler,EA,&,$341.82,
PSLATD,Postal - slat wall - drawer unit,LF,&,$198.07,
PSLAT,Postal - slat wall,SF,&,$7.52,
PMETR,Postal - shared meter counter,LF,&,$427.11,
PSCALE,Postal - scale counter/cabinet,LF,&,$276.28,
PHAMP,Postal - pouch / hamper unit,LF,&,$361.28,
PPARC,Postal - parcel slide storage w/waste,LF,&,$292.53,
PGOND,Postal - merchandise gondola - 4' long,EA,&,######,
PMAIL,Postal - maildrop counter,LF,&,$117.95,
PFORM,Postal - forms and waste unit,LF,&,$239.61,
PECAP,Postal - end cap units for desk,EA,&,$561.82,
PCUB,Postal - cubbies (per slot),EA,&,$76.69,
PWRAP,Postal - cash wrap counter,LF,&,$440.08,
PSTAMP,Postal - booklet/stamp machine template,EA,&,$256.82,
PBMC,Postal - BMC / GPMC unit,LF,&,$256.28,
PNOTE,"Postal - ""left notice"" cabinet",LF,&,$345.45,
MC-,Medicine cabinet - Standard grade,EA,&,$96.63,
MC++,Medicine cabinet - Premium grade,EA,&,$351.40,
MCM,Medicine cabinet - mobile home,EA,&,$65.00,
MC+,Medicine cabinet - High grade,EA,&,$228.40,
MCRS,Medicine cabinet - Detach & reset,EA,#ERROR!,$31.47,
MC,Medicine cabinet,EA,&,$163.40,
LSHELF,Library book shelves - full height - Commercial,LF,&,$185.47,
FUPC,Laminated plastic cabinets - upper unit - Comm grade,LF,&,$160.52,
FLOWC,Laminated plastic cabinets - lower unit - Comm grade,LF,&,$286.12,
FFHC,Laminated plastic cabinets - full height unit - Comm grade,LF,&,$421.13,
IH48++,"Island hood, 48"" - tapered canopy - Premium grade",EA,&,######,
IH48+,"Island hood, 48"" - tapered canopy - High grade",EA,&,######,
IH48,"Island hood, 48"" - tapered canopy",EA,&,######,
IH36++,"Island hood, 36"" - tapered canopy - Premium grade",EA,&,######,
IH36+,"Island hood, 36"" - tapered canopy - High grade",EA,&,######,
IH36,"Island hood, 36"" - tapered canopy",EA,&,######,
IRON-,Ironing board cabinet - built-in - Standard grade,EA,&,$200.86,
IRON+,Ironing board cabinet - built-in - High grade,EA,&,$336.75,
IRONRS,Ironing board cabinet - built-in - Detach & reset,EA,#ERROR!,$41.80,
IRON,Ironing board cabinet - built-in,EA,&,$289.46,
